Добавленная стоимость аграрного сектора  от ВВП в %;;;;
Добавленная стоимость аграрного сектора  от ВВП в %;Казахстан;Таджикистан;Узбекистан;Кыргызстан
2003;2,2;9;6,8;3,2
2004;-0,1;11,3;8,3;4,1
2005;7,1;1,6;5,9;-4,2
2006;6;5,4;7,1;1,7
2007;8,9;6,5;6,5;1,6
2008;-6,2;7,9;4,7;0,9
2009;13,2;10,5;5,8;6,7
2010;-11,6;6,8;5,7;-2,6
2011;26,5;7,9;6,1;1,8
2012;-17,4;10,4;7;1,2
2013;11,2;7,6;6,4;2,7
2014;1,3;4,5;6;-0,5
2015;3,5;3,2;6,1;6,2
2016;5,4;5,2;6,2;2,9
2017;3,2;6,8;1,2;2,2
2018;3,8;7;0,3;2,6
2019;-0,1;7;3,1;2,5
2020;5,9;7,9;2,9;0,9
2021;-2,2;-0,3;4;-4,5
2022;9,1;-4,5;3,6;7,3
